City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Tokyo,7.61 €,38.06 €,5.33 €,3.81 €,4.57 €,2.96 €,1.15 €,0.86 €,Edit,6.05 €,1.52 €,1.74 €,1.97 €,6.18 €,3.37 €,8.61 €,2.94 €,1.29 €,2.03 €,2.32 €,1.25 €,1.20 €,1.55 €,0.97 €,11.42 €,2.61 €,3.03 €,3.96 €,Edit,1.60 €,79.92 €,3.50 €,5.14 €,26.64 €,4.02 €,"19,028.96 €","16,376.70 €",Edit,173.57 €,0.22 €,35.18 €,Edit,74.66 €,22.16 €,13.70 €,Edit,663.76 €,"15,863.23 €",Edit,53.82 €,32.48 €,64.57 €,100.85 €,Edit,"1,036.38 €",589.89 €,"2,575.48 €","1,322.84 €",Edit,911.23 €,533.54 €,Edit,"2,727.52 €",1.24,Japan
Jakarta,2.30 €,17.28 €,2.88 €,2.59 €,3.17 €,1.95 €,0.50 €,0.23 €,Edit,4.55 €,0.91 €,0.34 €,1.38 €,3.31 €,1.30 €,3.28 €,1.04 €,0.58 €,0.82 €,0.42 €,0.51 €,0.86 €,0.96 €,0.39 €,20.16 €,2.20 €,2.86 €,1.73 €,Edit,0.23 €,11.52 €,0.40 €,0.42 €,2.42 €,1.92 €,"28,801.75 €","26,755.21 €",Edit,89.41 €,0.11 €,24.98 €,Edit,35.29 €,9.23 €,3.17 €,Edit,128.83 €,"5,982.15 €",Edit,38.94 €,30.41 €,61.74 €,65.31 €,Edit,409.40 €,211.38 €,"1,025.16 €",599.56 €,Edit,207.56 €,107.84 €,Edit,397.43 €,9.59,Indonesia
Delhi,3.37 €,16.84 €,3.37 €,1.68 €,2.81 €,1.69 €,0.44 €,0.19 €,Edit,2.29 €,0.35 €,0.33 €,0.83 €,1.68 €,1.28 €,2.11 €,0.63 €,0.27 €,0.33 €,0.23 €,0.18 €,0.21 €,0.48 €,0.33 €,8.98 €,1.33 €,2.21 €,3.82 €,Edit,0.34 €,11.23 €,0.56 €,0.36 €,1.12 €,3.55 €,"10,105.27 €","18,897.85 €",Edit,50.18 €,0.01 €,8.71 €,Edit,18.57 €,6.14 €,3.93 €,Edit,52.88 €,"1,481.16 €",Edit,26.20 €,30.49 €,42.46 €,30.51 €,Edit,197.84 €,111.09 €,473.16 €,258.25 €,Edit,172.96 €,83.63 €,Edit,392.79 €,8.56,India
Mumbai,3.37 €,16.84 €,3.37 €,1.99 €,3.37 €,1.76 €,0.43 €,0.18 €,Edit,2.46 €,0.38 €,0.31 €,0.82 €,2.44 €,1.37 €,2.66 €,0.84 €,0.27 €,0.46 €,0.23 €,0.19 €,0.22 €,0.65 €,0.33 €,7.86 €,1.78 €,2.84 €,3.82 €,Edit,0.22 €,5.33 €,0.26 €,0.40 €,1.12 €,3.79 €,"10,105.27 €","18,989.54 €",Edit,45.42 €,0.01 €,9.34 €,Edit,24.61 €,8.87 €,3.93 €,Edit,73.17 €,"2,248.52 €",Edit,28.37 €,30.60 €,46.20 €,34.56 €,Edit,494.37 €,262.22 €,"1,402.05 €",669.56 €,Edit,515.25 €,197.49 €,Edit,526.70 €,8.54,India
Manila,3.45 €,20.70 €,2.59 €,1.48 €,2.07 €,2.07 €,0.66 €,0.42 €,Edit,5.73 €,0.98 €,0.40 €,1.67 €,2.43 €,1.61 €,2.59 €,1.07 €,0.67 €,1.08 €,0.72 €,0.84 €,0.79 €,1.33 €,0.66 €,7.76 €,1.01 €,1.57 €,2.07 €,Edit,0.43 €,11.70 €,0.69 €,0.37 €,2.07 €,3.29 €,"22,419.93 €","18,628.44 €",Edit,96.68 €,0.13 €,41.86 €,Edit,44.18 €,5.12 €,5.17 €,Edit,177.57 €,"8,583.85 €",Edit,37.39 €,25.37 €,72.58 €,72.82 €,Edit,567.56 €,284.11 €,"1,832.40 €",757.60 €,Edit,266.57 €,184.41 €,Edit,325.76 €,8.06,Philippines
Shanghai,3.85 €,32.12 €,5.14 €,1.28 €,2.57 €,3.56 €,0.50 €,0.32 €,Edit,9.00 €,1.74 €,0.53 €,1.89 €,7.10 €,2.04 €,5.47 €,1.15 €,0.69 €,1.03 €,0.59 €,0.41 €,0.42 €,0.82 €,0.63 €,12.85 €,0.74 €,2.13 €,2.57 €,Edit,0.51 €,25.70 €,1.80 €,0.62 €,4.72 €,3.34 €,"17,989.50 €","19,947.18 €",Edit,51.78 €,0.03 €,12.79 €,Edit,50.55 €,10.21 €,6.42 €,Edit,937.62 €,"21,651.64 €",Edit,64.48 €,37.25 €,83.98 €,102.79 €,Edit,"1,099.10 €",526.48 €,"2,432.74 €","1,227.47 €",Edit,"1,198.61 €",584.62 €,Edit,"1,375.72 €",4.88,China
Sao-Paulo,4.59 €,22.95 €,4.59 €,1.53 €,2.29 €,1.14 €,0.80 €,0.51 €,Edit,2.30 €,0.85 €,0.39 €,1.34 €,2.66 €,1.11 €,2.52 €,0.61 €,0.41 €,0.36 €,0.47 €,0.36 €,0.40 €,0.47 €,0.43 €,6.12 €,0.87 €,2.09 €,1.57 €,Edit,0.67 €,38.24 €,0.76 €,0.74 €,5.05 €,2.67 €,"13,767.51 €","16,723.49 €",Edit,43.28 €,0.22 €,18.04 €,Edit,17.78 €,21.23 €,5.81 €,Edit,266.97 €,"9,134.07 €",Edit,37.54 €,28.43 €,51.02 €,40.29 €,Edit,362.03 €,228.06 €,743.70 €,493.97 €,Edit,165.08 €,106.52 €,Edit,383.94 €,8.59,Brazil
Seoul,5.95 €,37.22 €,4.84 €,2.98 €,4.47 €,3.53 €,1.38 €,0.67 €,Edit,7.31 €,2.00 €,1.59 €,2.61 €,6.21 €,3.37 €,12.04 €,2.91 €,1.30 €,1.95 €,2.41 €,1.35 €,0.98 €,1.82 €,0.96 €,14.89 €,1.94 €,2.25 €,3.35 €,Edit,0.93 €,40.94 €,2.83 €,0.96 €,8.93 €,4.31 €,"23,817.64 €","20,799.22 €",Edit,159.67 €,0.13 €,20.09 €,Edit,49.66 €,15.56 €,8.19 €,Edit,362.94 €,"17,150.82 €",Edit,52.35 €,39.00 €,70.06 €,111.12 €,Edit,742.41 €,523.99 €,"2,045.36 €","1,084.53 €",Edit,"1,527.90 €",761.06 €,Edit,"2,093.25 €",3.23,South Korea
Mexico-City,6.17 €,32.88 €,4.93 €,1.64 €,2.67 €,1.86 €,0.71 €,0.51 €,Edit,3.28 €,1.18 €,0.53 €,1.40 €,2.10 €,1.81 €,2.97 €,0.77 €,0.40 €,0.39 €,0.48 €,0.50 €,0.40 €,0.70 €,0.62 €,7.40 €,0.93 €,1.76 €,2.57 €,Edit,0.25 €,12.33 €,0.62 €,0.41 €,4.11 €,3.06 €,"15,003.61 €","13,175.56 €",Edit,34.01 €,0.06 €,22.92 €,Edit,44.50 €,14.69 €,3.29 €,Edit,258.38 €,"5,272.62 €",Edit,37.90 €,29.25 €,62.91 €,63.80 €,Edit,536.66 €,309.77 €,"1,050.34 €",652.69 €,Edit,182.78 €,107.94 €,Edit,527.11 €,10.41,Mexico
Guangzhou,2.57 €,19.27 €,3.85 €,1.28 €,1.93 €,3.61 €,0.49 €,0.32 €,Edit,5.97 €,1.13 €,0.36 €,1.94 €,4.25 €,1.89 €,4.53 €,1.01 €,0.57 €,0.82 €,0.50 €,0.37 €,0.41 €,0.66 €,0.59 €,6.42 €,0.80 €,1.96 €,3.21 €,Edit,0.26 €,15.42 €,1.54 €,0.54 €,5.65 €,3.42 €,"19,274.46 €","16,453.97 €",Edit,46.15 €,0.02 €,16.96 €,Edit,30.76 €,11.41 €,7.07 €,Edit,395.48 €,"12,509.77 €",Edit,54.98 €,31.20 €,69.49 €,63.52 €,Edit,546.91 €,266.06 €,"1,088.20 €",549.68 €,Edit,799.04 €,390.58 €,Edit,"1,022.46 €",5.29,China
Beijing,4.50 €,25.70 €,4.50 €,1.28 €,3.21 €,3.70 €,0.43 €,0.27 €,Edit,6.10 €,1.31 €,0.49 €,1.79 €,6.41 €,1.36 €,4.40 €,0.76 €,0.57 €,0.75 €,0.49 €,0.31 €,0.32 €,0.67 €,0.58 €,12.85 €,0.67 €,1.86 €,2.57 €,Edit,0.51 €,25.70 €,1.67 €,0.48 €,7.07 €,3.38 €,"18,631.98 €","15,927.93 €",Edit,50.23 €,0.03 €,14.82 €,Edit,46.32 €,23.62 €,7.07 €,Edit,687.97 €,"20,985.60 €",Edit,61.13 €,32.17 €,73.89 €,94.13 €,Edit,912.78 €,517.45 €,"2,030.80 €","1,175.16 €",Edit,"1,246.56 €",599.75 €,Edit,"1,174.88 €",5.26,China
