City,Country,Meal Inexpensive Restaurant,Meal for 2 People Mid-range Restaurant Three-course,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Cinema International Release 1 Seat,Apartment (1 bedroom) in City Centre,Apartment (1 bedrooms) outside city Centre,Apartment (3 bedrooms) in City Centre,Apartment(3 bedrooms) outside of city center,Average Monthly Net Salary (After Tax)
Aachen,Germany,9.0,45.0,8.0,3.2,2.75,71.0,3.8,3.06,30.0,0.1,29.08,10.0,564.0,415.0,"1,026.15 ",850.0,2586.08
Aalborg,Denmark,16.47,67.24,10.76,6.39,2.96,53.79,6.72,2.38,57.61,0.12,29.88,14.96,696.37,507.67,"1,180.09 ",963.8,3311.67
Aarau,Switzerland,19.36,72.88,13.67,4.56,4.76,120.71,8.93,,,0.27,63.47,18.22,1442.45,1002.13,"2,179.63 ",2015.64,5997.58
Abbotsford,Canada,12.18,50.76,6.77,3.72,1.69,39.59,2.35,2.05,,0.3,51.52,10.15,808.43,691.87,"1,315.58 ",1227.96,2137.0
Aberdeen,United Kingdom,15.52,57.48,6.44,3.74,3.1,77.02,2.99,2.53,41.38,0.18,34.36,9.77,628.57,497.48,"1,242.91 ",1170.04,2683.66
Aberystwyth,United Kingdom,13.79,57.48,5.75,3.91,1.72,,2.99,1.72,23.45,0.1,32.55,7.47,613.07,487.39,890.87 ,766.34,1954.17
Abidjan,Ivory Coast,3.05,30.49,9.15,0.76,0.3,57.17,0.76,1.23,7.62,0.13,75.64,7.62,628.85,204.85,"1,689.64 ",947.36,142.92
Abilene,United States,9.98,33.28,5.82,3.33,1.29,,2.5,3.33,8.32,0.05,51.89,8.32,561.57,405.58,"1,014.98 ",894.35,2637.28
Abu-Dhabi,United Arab Emirates,6.79,45.3,6.79,9.06,0.45,18.12,2.72,0.73,6.79,0.13,84.46,9.06,1037.06,819.91,"2,129.21 ",1668.28,2662.89
Abuja,Nigeria,2.43,20.25,3.83,0.69,0.2,30.38,1.01,0.61,4.05,0.05,28.76,5.57,1475.53,565.62,"4,185.48 ",1634.65,131.64
Accra,Ghana,4.03,28.76,6.15,1.04,0.58,25.17,0.72,1.44,3.6,0.03,44.16,6.47,591.78,86.94,"1,546.41 ",362.21,316.3
Ad-Dammam,Saudi Arabia,4.99,26.62,5.43,1.16,0.44,8.87,2.22,3.57,6.65,0.13,52.24,13.31,416.53,317.95,736.05 ,459.0,1327.24
Adana,Turkey,2.51,10.04,2.51,2.01,0.3,20.08,0.5,1.23,2.76,0.08,22.03,2.51,119.2,75.28,213.30 ,141.96,296.56
Addis-Ababa,Ethiopia,2.5,21.87,2.5,0.83,0.21,9.57,1.5,1.16,5.82,0.02,451.33,3.04,303.87,151.56,"1,157.38 ",479.75,183.53
Adelaide,Australia,10.91,51.36,7.7,5.14,2.57,64.84,2.89,2.07,25.23,0.32,44.73,9.63,913.93,676.04,"1,614.99 ",1100.64,2892.72
Agadir,Morocco,2.78,13.92,4.64,2.78,0.37,12.99,0.46,0.97,2.32,0.12,25.95,5.99,253.29,143.29,430.17 ,211.85,302.38
Agra,India,2.23,7.02,3.37,1.96,0.22,8.14,0.79,0.17,1.12,0.01,10.41,2.53,80.84,47.16,143.16 ,95.44,223.44
Aguascalientes,Mexico,4.93,22.61,4.11,1.03,0.39,24.66,0.59,1.65,3.29,0.07,21.69,2.88,125.89,80.16,331.42 ,282.6,453.01
Aix-en-provence,France,15.0,45.0,9.0,6.0,1.3,28.0,2.1,2.77,28.2,0.22,20.83,11.0,663.33,531.43,"1,278.57 ",1028.0,2130.62
Ajax,Canada,10.83,47.38,7.78,4.06,2.45,90.36,2.88,2.4,17.6,0.34,43.16,9.48,913.72,721.95,"1,601.83 ",1308.53,2599.02
Ajka,Hungary,4.44,24.29,4.16,0.82,0.97,10.55,1.94,1.76,13.88,0.07,11.44,3.89,261.0,222.12,305.41 ,305.41,694.12
Akron,United States,8.32,33.28,6.03,2.5,1.04,41.6,3.12,1.87,16.64,0.19,59.84,9.15,522.94,515.35,845.82 ,790.35,2222.97
Akureyri,Iceland,12.87,66.84,12.0,6.68,0.0,0.0,5.35,3.23,53.48,0.23,76.04,10.51,735.29,593.25,"1,361.97 ",1203.21,2533.42
Al-Muharraq,Bahrain,4.41,22.07,4.41,3.44,0.55,,2.65,1.07,3.31,0.06,55.16,6.62,625.18,588.41,"1,323.92 ",956.16,1250.37
Alajuela,Costa Rica,5.05,24.25,5.66,1.75,0.85,33.68,0.87,1.46,,0.04,39.34,4.38,277.53,221.49,572.57 ,501.01,673.61
Alba-Iulia,Romania,3.35,17.26,3.91,0.73,0.51,15.23,0.46,0.78,4.06,0.03,8.63,4.06,190.33,162.42,301.15 ,243.63,439.04
Albacete,Spain,10.5,25.0,7.65,2.5,1.2,15.0,3.0,1.77,10.0,0.21,41.91,7.5,516.67,425.0,700.00 ,566.67,1225.0
Albany,United States,14.98,60.32,6.66,3.33,1.25,45.76,2.91,1.66,24.96,0.15,58.61,9.98,935.94,821.25,"1,319.23 ",1253.12,2959.25
Alberton,South Africa,8.32,34.44,4.13,1.72,0.92,,1.72,0.65,,0.19,50.19,6.03,325.24,302.28,612.21 ,727.0,1147.9
Albertville,France,15.0,55.0,10.0,4.0,1.5,45.0,3.15,3.15,18.6,0.17,10.0,10.0,600.0,500.0,"1,200.00 ",1000.0,2005.0
Albuquerque,United States,11.65,37.44,6.64,4.16,0.83,24.96,2.08,1.83,23.63,0.15,63.18,9.98,688.69,561.01,"1,202.17 ",1091.93,2460.3
Alesund,Norway,14.97,92.29,12.47,8.98,4.19,52.88,9.98,3.21,59.86,0.14,54.4,14.97,981.05,761.98,"1,566.36 ",1147.33,2957.41
Alexandria,Egypt,2.66,15.94,3.72,1.59,0.27,7.97,0.4,0.3,2.13,0.01,12.93,3.72,168.23,98.75,340.01 ,187.21,158.32
Algiers,Algeria,2.81,18.72,3.43,1.4,0.25,9.36,0.16,0.35,3.74,0.06,36.58,4.37,207.93,129.93,374.46 ,226.66,229.79
Alicante,Spain,12.0,32.0,7.6,2.9,1.45,40.0,4.35,2.13,20.0,0.13,34.8,7.0,537.5,478.57,906.25 ,782.5,1461.69
Allentown,United States,12.48,29.12,4.8,3.33,1.66,44.93,,1.51,9.98,0.02,49.09,9.98,732.12,561.57,"1,081.53 ",974.07,2283.7
Almaty,Kazakhstan,4.64,19.35,3.87,0.82,0.19,13.54,0.97,0.5,2.9,0.02,9.37,3.29,285.25,187.15,545.64 ,341.58,359.23
Almeria,Spain,10.0,35.5,8.0,2.5,1.05,32.55,1.47,1.31,25.12,0.16,42.2,7.0,457.14,395.83,697.14 ,575.0,1260.0
