City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid range Restaurant, Three course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Markets,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),Transportation,One way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed Rate"
Tokyo,7.61 €,38.04 €,5.33 €,3.80 €,4.56 €,2.96 €,1.15 €,0.86 €,Edit,1.60 €,1.68 €,3.83 €,1.97 €,13.62 €,7.44 €,18.97 €,6.47 €,2.84 €,4.48 €,5.11 €,2.75 €,2.65 €,1.55 €,0.97 €,11.41 €,2.61 €,3.03 €,3.96 €,Edit,1.60 €,79.89 €,3.50 €,3.20 €,26.63 €,1.06 €,"19,020.60 €","16,369.51 €",Edit,173.49 €,0.22 €,35.16 €,Edit,74.63 €,22.15 €,13.69 €,Edit,663.47 €,"15,705.58 €",Edit,53.80 €,32.46 €,64.54 €,100.81 €,Edit,"1,026.91 €",589.63 €,"2,574.46 €","1,322.26 €",Edit,"9,804.68 €","5,740.66 €",Edit,"2,711.18 €",1.24
Jakarta,2.30 €,17.28 €,2.88 €,2.59 €,3.17 €,1.95 €,0.50 €,0.23 €,Edit,1.20 €,1.01 €,0.75 €,1.38 €,7.29 €,2.86 €,7.24 €,2.30 €,1.28 €,1.82 €,0.92 €,1.13 €,1.90 €,0.96 €,0.39 €,20.16 €,2.20 €,2.86 €,1.73 €,Edit,0.23 €,11.52 €,0.40 €,0.26 €,2.42 €,0.51 €,"28,801.75 €","26,755.21 €",Edit,89.41 €,0.11 €,24.98 €,Edit,35.29 €,9.23 €,3.17 €,Edit,128.83 €,"5,982.15 €",Edit,38.94 €,30.41 €,61.74 €,65.31 €,Edit,409.40 €,211.38 €,"1,025.16 €",599.56 €,Edit,"2,234.12 €","1,160.84 €",Edit,397.43 €,9.59
New York,16.64 €,83.19 €,7.49 €,6.11 €,7.90 €,4.15 €,1.77 €,1.43 €,Edit,0.99 €,3.37 €,4.55 €,2.62 €,11.45 €,11.02 €,14.35 €,5.03 €,2.36 €,4.90 €,5.14 €,3.50 €,3.44 €,1.95 €,1.79 €,12.48 €,2.54 €,2.53 €,12.48 €,Edit,2.29 €,106.07 €,3.16 €,1.55 €,27.04 €,0.59 €,"19,134.85 €","17,757.45 €",Edit,131.79 €,0.09 €,55.64 €,Edit,87.51 €,27.52 €,13.31 €,Edit,"2,123.10 €","30,726.69 €",Edit,52.39 €,36.64 €,75.03 €,109.94 €,Edit,"2,546.56 €","1,682.93 €","5,198.17 €","2,842.97 €",Edit,"12,615.49 €","6,604.01 €",Edit,"5,113.83 €",3.63
Seoul,5.95 €,37.22 €,4.84 €,2.98 €,4.47 €,3.53 €,1.38 €,0.67 €,Edit,1.93 €,2.21 €,3.59 €,2.61 €,13.70 €,7.42 €,27.46 €,6.41 €,2.83 €,4.36 €,5.41 €,2.98 €,2.20 €,1.79 €,0.95 €,14.89 €,1.94 €,2.25 €,3.35 €,Edit,0.93 €,40.94 €,2.83 €,0.60 €,8.93 €,1.14 €,"23,817.64 €","20,799.22 €",Edit,161.00 €,0.13 €,19.82 €,Edit,50.11 €,15.56 €,8.19 €,Edit,357.06 €,"17,150.82 €",Edit,53.04 €,38.36 €,70.68 €,111.10 €,Edit,709.79 €,508.07 €,"2,009.63 €","1,049.39 €",Edit,"16,215.52 €","8,172.62 €",Edit,"2,096.46 €",3.23
Manila,3.45 €,20.70 €,2.59 €,1.48 €,2.07 €,2.07 €,0.66 €,0.42 €,Edit,1.51 €,1.08 €,0.89 €,1.67 €,5.36 €,3.56 €,5.72 €,2.36 €,1.48 €,2.39 €,1.60 €,1.86 €,1.74 €,1.33 €,0.66 €,7.76 €,1.01 €,1.57 €,2.07 €,Edit,0.43 €,11.70 €,0.69 €,0.23 €,2.07 €,0.87 €,"22,419.97 €","18,628.48 €",Edit,96.68 €,0.13 €,41.86 €,Edit,44.18 €,5.12 €,5.17 €,Edit,177.57 €,"8,583.87 €",Edit,37.39 €,25.37 €,72.58 €,72.82 €,Edit,567.56 €,284.11 €,"1,832.40 €",757.60 €,Edit,"2,869.37 €","1,984.98 €",Edit,325.76 €,8.06
Mumbai,3.37 €,16.84 €,3.37 €,2.02 €,3.54 €,1.78 €,0.43 €,0.18 €,Edit,0.65 €,0.41 €,0.68 €,0.82 €,5.41 €,3.02 €,5.86 €,1.84 €,0.60 €,1.01 €,0.50 €,0.41 €,0.49 €,0.66 €,0.33 €,7.86 €,1.78 €,2.83 €,3.82 €,Edit,0.22 €,5.33 €,0.26 €,0.25 €,1.12 €,1.00 €,"10,105.27 €","18,867.05 €",Edit,45.57 €,0.01 €,9.36 €,Edit,24.64 €,8.87 €,3.93 €,Edit,72.87 €,"2,248.52 €",Edit,28.37 €,30.60 €,46.20 €,34.56 €,Edit,494.37 €,262.22 €,"1,402.05 €",669.56 €,Edit,"5,546.19 €","2,125.75 €",Edit,526.70 €,8.54
Sao Paulo,4.59 €,22.95 €,4.59 €,1.53 €,2.29 €,1.14 €,0.80 €,0.51 €,Edit,0.61 €,0.94 €,0.87 €,1.34 €,5.86 €,2.45 €,5.57 €,1.34 €,0.90 €,0.79 €,1.04 €,0.80 €,0.88 €,0.47 €,0.43 €,6.12 €,0.87 €,2.09 €,1.57 €,Edit,0.67 €,38.24 €,0.76 €,0.46 €,5.05 €,0.71 €,"13,768.09 €","16,724.20 €",Edit,43.28 €,0.22 €,18.04 €,Edit,17.78 €,21.23 €,5.81 €,Edit,266.98 €,"9,134.46 €",Edit,37.54 €,28.43 €,51.02 €,40.29 €,Edit,362.05 €,228.07 €,743.73 €,493.99 €,Edit,"1,777.02 €","1,146.63 €",Edit,383.95 €,8.59
Mexico City,6.16 €,32.88 €,4.93 €,1.64 €,2.67 €,1.86 €,0.71 €,0.51 €,Edit,0.87 €,1.30 €,1.16 €,1.40 €,4.63 €,4.00 €,6.54 €,1.70 €,0.88 €,0.87 €,1.05 €,1.09 €,0.89 €,0.70 €,0.62 €,7.40 €,0.93 €,1.76 €,2.57 €,Edit,0.25 €,12.33 €,0.62 €,0.26 €,4.11 €,0.81 €,"15,000.94 €","13,173.22 €",Edit,34.00 €,0.06 €,22.92 €,Edit,44.50 €,14.68 €,3.29 €,Edit,258.33 €,"5,271.68 €",Edit,37.90 €,29.24 €,62.90 €,63.79 €,Edit,536.57 €,309.71 €,"1,050.16 €",652.58 €,Edit,"1,967.07 €","1,161.65 €",Edit,527.02 €,10.41
Delhi,3.37 €,16.84 €,3.37 €,1.68 €,2.81 €,1.69 €,0.44 €,0.19 €,Edit,0.60 €,0.38 €,0.73 €,0.83 €,3.73 €,2.83 €,4.65 €,1.39 €,0.60 €,0.72 €,0.52 €,0.39 €,0.46 €,0.48 €,0.33 €,8.98 €,1.33 €,2.21 €,3.82 €,Edit,0.34 €,11.23 €,0.56 €,0.22 €,1.12 €,0.94 €,"10,105.27 €","18,897.85 €",Edit,50.18 €,0.01 €,8.71 €,Edit,18.66 €,6.22 €,3.93 €,Edit,53.15 €,"1,481.16 €",Edit,26.33 €,30.49 €,42.46 €,30.62 €,Edit,197.84 €,111.09 €,473.16 €,258.25 €,Edit,"1,861.70 €",900.22 €,Edit,392.79 €,8.56
Osaka,6.09 €,38.04 €,5.00 €,3.80 €,3.42 €,2.82 €,0.97 €,0.81 €,Edit,1.47 €,1.60 €,4.53 €,1.85 €,11.63 €,6.24 €,17.75 €,5.20 €,1.83 €,4.37 €,6.39 €,3.56 €,2.00 €,1.37 €,0.92 €,7.61 €,2.31 €,2.16 €,3.80 €,Edit,1.60 €,60.87 €,5.17 €,3.04 €,22.82 €,1.07 €,"22,824.72 €","15,018.67 €",Edit,150.85 €,0.21 €,36.61 €,Edit,70.84 €,24.54 €,13.69 €,Edit,408.94 €,"11,792.77 €",Edit,49.93 €,32.06 €,69.56 €,77.17 €,Edit,755.39 €,414.23 €,"1,806.96 €",884.46 €,Edit,"6,795.09 €","4,225.22 €",Edit,"2,195.78 €",1.32
