,0,1,2,3,4,5,6,7,8,9,10,11,12
Item,Level of crime,Crime increasing in the past 3 years,Worries home broken and things stolen,Worries being mugged or robbed,Worries car stolen,Worries things from car stolen,Worries attacked,Worries being insulted,"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",Problem people using or dealing drugs,Problem property crimes such as vandalism and theft,Problem violent crimes such as assault and armed robbery,Problem corruption and bribery
Tokyo,Very Low,Moderate,Very Low,Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low
Jakarta,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High
Delhi,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Very High
Mumbai,Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Manila,High,High,High,High,Moderate,High,High,Moderate,Low,High,High,High,Very High
Shanghai,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Sao-Paulo,Very High,High,Moderate,High,High,High,Moderate,Moderate,Low,High,High,Very High,Very High
Seoul,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low
Mexico-City,High,Very High,Moderate,High,High,High,High,Moderate,Low,High,High,Very High,Very High
Guangzhou,Low,Moderate,Low,Low,Low,Moderate,Low,Moderate,Low,Low,Moderate,Low,Moderate
Beijing,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
New-York,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate
Kolkata,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Moscow,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Low,High
Bangkok,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Very High
Buenos-Aires,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Very Low,High,High,High,Very High
Shenzhen,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Dhaka,High,High,Moderate,High,High,High,Moderate,Moderate,Low,High,High,High,Very High
Lagos,High,High,High,High,High,High,High,Moderate,Moderate,High,High,High,Very High
Istanbul,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Osaka,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Karachi,High,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High,High
Bangalore,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High
Tehran,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,Moderate,Moderate,High
Kinshasa,Very High,High,High,Very High,Moderate,High,High,High,Moderate,Moderate,Very High,High,Very High
Ho-Chi-Minh-City,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Very High
Los-Angeles,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Rio-De-Janeiro,Very High,Very High,Moderate,Very High,High,High,High,Moderate,Moderate,Very High,Very High,Very High,Very High
Chennai,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Moderate,Low,High
Chengdu,Very Low,Moderate,Low,Low,Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Moderate
Lahore,Low,Low,Low,Moderate,Moderate,Low,Low,Low,Very Low,Moderate,Moderate,Moderate,High
Paris,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate
London,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low
Tianjin,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Lima,Very High,Very High,Moderate,High,High,High,High,Moderate,Low,High,High,Very High,Very High
Hyderabad,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,High
Bogota,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Very Low,High,High,High,Very High
Wuhan,Very Low,Moderate,Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Very Low,Moderate
Chicago,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,High,High,High,High
Luanda,High,High,High,High,Moderate,High,High,Moderate,Low,Moderate,High,High,Very High
Kuala-Lumpur,High,High,High,High,High,High,Moderate,Moderate,Moderate,Moderate,High,High,Very High
Hanoi,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,High
Pune,Moderate,High,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Low,High
Chongqing,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High
Changchun,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Low,Low,Low,Very Low,High
Nanjing,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Moderate
Hefei,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Moderate
Khartoum,Low,Moderate,Low,Low,Low,Moderate,Low,Very Low,Very Low,Low,Moderate,Low,High
Xi'an,Low,Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low
Shenyang,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Moderate
Santiago,High,High,Moderate,High,Moderate,High,Moderate,Low,Low,Moderate,High,Moderate,Moderate
Riyadh,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Dar-Es-Salaam,High,High,High,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,High,Very High
Hangzhou,Very Low,Low,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Moderate
Miami,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
Surat,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Baghdad,High,High,High,High,High,Moderate,High,High,High,Moderate,High,High,High
Qingdao,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Low
Dallas,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Philadelphia,High,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,High,High
Nairobi,High,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,High,Very High
Ankara,Low,High,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Low,High
Houston,High,High,High,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Atlanta,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Toronto,Moderate,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Washington,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Saint-Petersburg,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Sydney,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Guadalajara,High,Very High,Moderate,High,High,High,Moderate,Low,Very Low,High,High,High,Very High
Belo-Horizonte,High,High,Moderate,High,High,High,Moderate,Low,Very Low,High,High,High,Very High
Melbourne,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Surabaya,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High
Abidjan,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Very High
Alexandria,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Very Low,Low,Moderate,Low,High
Boston,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Low
Barcelona,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate
Dalian,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Moderate
Johannesburg,Very High,Very High,High,Very High,High,Very High,High,High,High,High,Very High,Very High,Very High
Casablanca,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
